GeneNames,D1,D2,D3,D4,D5,L1,L2,L3,L4,L5,U1,U2,U3,U4,U5
A1BG,0,0.062156907,0,0.122109946,0.119582222,4.226912731,2.309724052,2.2742434,3.235050393,4.015096366,0,0.10925086,0,0.059578928,0.055224553
A1BG-AS1,0,0.051534788,0,0,0,0.480077682,0.34371986,0.595450533,0.658787463,1.219051542,0,0,0.048058164,0,0.091574235
A1CF,0,0,0.031874235,0.011315257,0.011081027,0.010731089,0,0,0.010518397,0,0.010361292,0,0.021484708,0,0.010234711
A2M,0,0.094364151,0,0,0.045386246,0.197788291,0.314688717,0,0.129245399,0.922919297,0.063657482,0.497580966,0.945980494,0.135675547,0.062879794
A2M-AS1,0.154622302,0,0.046293185,0.049301821,0.048281254,0,0,0.048327604,0,0.045664588,0.045145293,0,0,0,0
A2ML1,0,0.020467854,0.01887809,0,0,0,0,0,0,0,0,0.035975577,0.019087057,0,0
A2MP1,0,0,0,0,0,0,0,0.088003722,0,0,0,0,0,0,0
A4GALT,14.54794824,14.53443608,14.66380892,22.93559826,23.11698114,7.918527967,2.599727646,2.273499585,5.557675717,4.821564905,2.690137212,2.121200501,3.327315713,5.180347898,4.195693335
A4GNT,0,0,0.057167248,0,0,0,0,0,0,0,0,0,0.115600101,0.059410721,0
AAAS,59.02902079,60.41184463,48.44462107,45.2539991,41.73061501,67.18761646,52.15218474,56.72987208,61.92750726,65.07487129,37.99894281,34.34425986,32.93253052,51.43403104,36.95072738
AACS,13.23717757,10.80833942,13.53567565,14.80497605,10.55593067,9.976248423,14.17195704,14.25782185,13.30964915,16.4192037,9.66219375,12.43255711,10.29495303,6.843342208,9.397319904
AACSP1,0,0,0.093182877,0,0.097184631,0.282346653,0.529442924,0.145916893,0.184500335,0.137876374,0,0,0,0,0
AADAC,0,0.068349376,0.063040595,0,0,0,0.586115434,0.658110022,0,0.124369182,0,0.12013513,0.063738412,0,0
AADACL2,0,0,0,0,0,0,0,0,0,0,0,0.06431234,0,0,0
